Cat1,Cat2,Cat3,Val1,Val2
String,String,String,Double,Double
European Business - USD,ABC-1234-432,SCTS General 1,148411,69447
European Loans - EUR,GHY-9878-098,SCTS General 2,185034,192023
European Business - GBP,DEF-3454-980,SCTS Disbursement 1,94963,103371
European Business - EUR,QWE-3234-999,SCTS Disbursement 2,124762,178171
European Business - EUR,TRE-4567-987,Yankee General,86177,169698
European Loans - EUR,QWS-2345-927,Rockies General,145875,79890
European Loans - EUR,SDF-2333-989,Yellowstone Disbursement,127623,70241
European Loans - EUR,PRL-8022-655,Tiptop Disbursement,142956,148619
European Business - USD,LES-4567-987,British General,72464,63235
European Business - USD,LOS-2345-927,ABBZ General,63383,33487
European Business - USD,LAS-2333-989,Parli Disbursement,199320,43222
European Business - GBP,SOY-8022-655,International General,188852,194540
European Business - GBP,SLP-3344-887,Schreiber General,108594,47797
European Loans - EUR,QWE-9898-989,Union General,72431,95684
European Business - EUR,WER-4455-888,Union Disbursement,74141,126959
