Cat1,Cat2,Cat3,Val1,Val2
String,String,String,Double,Double
Europäisches Geschäft - GBP,ABC-1234-432,SCTS Allgemein 1,810128,926305
Europäisches Geschäft - EUR,GHY-9878-098,SCTS Allgemein 2,575287,1124431
Europäisches Geschäft - USD,DEF-3454-980,SCTS Barauslage 1,693730,1141455
Europäisches Geschäft - EUR,QWE-3234-999,SCTS Barauslage 2,541426,1069808
Europäisches Geschäft - EUR,TRE-4567-987,Yankee Allgemein,576871,1187794
Europäisches Geschäft - GBP,QWS-2345-927,Rockies Allgemein,594598,908382
Europäisches Geschäft - EUR,SDF-2333-989,Yellowstone Barauslage,805580,811897
Europäische Darlehen - EUR,PRL-8022-655,Tiptop Barauslage,838132,986338
Europäisches Geschäft - EUR,LES-4567-987,British Allgemein,615139,1092296
Europäisches Geschäft - USD,LOS-2345-927,ABBZ Allgemein,885986,1181028
Europäisches Geschäft - USD,LAS-2333-989,Parli Barauslage,870204,882328
Europäisches Geschäft - GBP,SOY-8022-655,International Allgemein,978894,857866
Europäisches Geschäft - USD,SLP-3344-887,Schreiber Allgemein,789342,1121045
Europäische Darlehen - EUR,QWE-9898-989,Union Allgemein,928929,1053035
Europäische Darlehen - EUR,WER-4455-888,Union Barauslage,840530,1051915
